2.779373,2.406106,2.547291,1.966543,1.758597,1.726113,1.418918,1.212838,0.876541,0.505531,0.282332,0.071643,
2.894338,2.466743,2.232337,1.910632,1.508347,1.197469,0.967102,0.856177,0.825315,0.688921,0.455389,0.077963,
2.900553,2.475887,2.229574,1.822125,1.442758,1.151182,0.925503,0.847846,0.790048,0.655581,0.427734,0.075048,
2.828378,2.384751,2.198490,1.890036,1.643076,1.467783,1.248680,1.014994,0.785129,0.543085,0.314941,0.069240,
2.770307,2.236359,2.279637,1.934948,1.403255,1.545328,1.524361,0.951980,0.818475,0.723901,0.279268,0.069242,
2.779645,2.154368,2.281431,1.727923,1.155816,1.580385,1.475713,0.745882,0.903132,0.874987,0.410366,0.069422,
2.742034,1.915329,2.607291,1.941450,0.742596,1.759074,1.956920,0.736800,0.886874,1.034064,0.377679,0.055191,
3.098409,1.772615,3.166634,1.999134,-0.130746,1.351277,1.813198,0.719208,1.603752,1.384448,0.235273,0.074515,
3.117990,2.408904,1.932819,1.122902,0.459560,0.927182,1.574185,1.545231,1.323112,0.863825,0.185118,0.032390,
3.344462,2.260329,1.260416,0.678079,1.071365,2.304302,2.688386,1.709581,0.654649,0.109134,-0.027412,0.009832,
3.235736,1.963626,0.861883,0.890219,2.122597,3.125791,2.679186,1.252488,0.157158,-0.104767,0.052956,0.096748,
3.020646,1.873549,1.253549,1.710473,2.693238,3.055770,2.302169,1.013755,0.092109,-0.093520,0.143905,0.117954,
3.367217,2.182056,1.126510,1.228603,2.349204,3.011454,2.379308,1.005162,0.069576,-0.064326,0.139707,0.099685,
3.553664,2.404048,1.189878,1.040847,2.044278,2.805833,2.554837,1.466936,0.292460,-0.252837,-0.114437,0.039358,
4.591683,2.725827,0.822999,0.900305,2.243918,2.958748,2.469099,1.388064,0.603314,0.272971,-0.149732,-0.014808,
3.803411,1.640739,0.471409,1.611391,2.909946,2.105722,0.591486,0.541367,1.214008,1.239705,0.398880,-0.000837,
3.889817,2.064390,0.612342,0.874468,1.766181,1.612423,0.662288,0.288349,0.705113,0.872816,0.567355,0.087007,
4.835572,2.669921,1.484671,2.210439,2.514474,0.908524,-0.649197,-0.408543,0.836575,1.203792,0.213037,-0.054922,
3.580327,2.818280,2.414019,2.489463,2.208739,1.163138,0.221876,0.209651,0.498000,0.336177,0.000321,-0.024105,
3.546934,3.193960,2.796325,2.276716,1.591813,0.790021,0.153771,-0.152408,-0.182687,-0.029140,0.109907,-0.023612,
3.740407,3.509849,3.191586,2.559029,1.633710,0.632265,-0.071117,-0.362526,-0.358976,-0.207027,0.018618,-0.051578,
3.865289,3.568751,3.194878,2.694128,1.970162,1.052383,0.208417,-0.348263,-0.495499,-0.294120,0.034337,-0.065399,
5.620355,3.190099,2.029302,3.623615,3.952467,1.052785,-1.160189,-0.796901,-0.414957,-0.553537,-0.115099,-0.063735,
3.823318,3.261984,2.790987,2.704249,2.283193,1.149389,0.109338,-0.278461,-0.242688,-0.111594,0.105263,-0.038046,
3.227478,2.695991,2.238946,1.928216,1.737072,1.324215,0.670248,0.173496,0.009359,-0.007268,0.018130,-0.029079,
3.320503,2.975691,2.842441,2.530794,2.146555,1.790052,1.205724,0.621142,0.182035,-0.030056,-0.045460,-0.026905,
2.952912,2.458726,2.213482,2.097297,1.669166,1.210954,0.797898,0.366897,0.245663,0.117915,-0.039701,-0.028050,
3.021291,2.488790,2.274702,2.017755,1.551563,1.211754,0.695396,0.434968,0.219991,-0.030200,-0.054636,-0.036760,
2.933726,2.433868,2.575922,1.929746,1.628130,1.110943,0.691366,0.350281,0.180768,0.050085,-0.167001,-0.064031,
2.909845,1.989771,2.238877,2.006317,1.573129,0.919694,0.694828,0.113872,0.237173,0.014707,-0.105960,-0.072306,
3.067699,2.184199,2.352053,2.311802,2.262426,1.432742,0.688909,0.488084,0.259689,0.025167,-0.085212,-0.042445,
2.660360,1.535339,2.242640,1.527354,1.013149,0.838050,0.605572,0.726122,0.296870,-0.274583,0.019460,-0.077850,
